id,product,amount,region
579,Widget,486.52,North
580,Doohickey,710.2,South
581,Gadget,552.6,East
582,Doohickey,4046.2,East
583,Gadget,2373.91,North
584,Thingmajig,3465.22,South
585,Thingmajig,3199.8,West
586,Doohickey,1793.39,North
587,Doohickey,2328.97,East
588,Doohickey,89.05,West
589,Thingmajig,4180.77,West
590,Gadget,307.5,South
591,Doohickey,1935.08,East
592,Thingmajig,2117.09,North
593,Doohickey,3990.97,West
594,Doohickey,2252.33,South
595,Widget,3074.65,East
596,Doohickey,1443.31,North
597,Thingmajig,3581.51,West
598,Widget,2625.55,West
599,Widget,4966.18,East
600,Gadget,3679.62,South
601,Doohickey,2051.25,West
602,Doohickey,526.19,North
603,Doohickey,141.03,South
604,Gadget,755.81,West
605,Widget,3452.23,South
606,Widget,3033.95,South
607,Widget,3372.86,East
608,Doohickey,2362.71,West
609,Widget,936.19,South
610,Gadget,1508.1,West
611,Doohickey,319.77,South
612,Widget,3684.92,West
613,Gadget,356.49,South
614,Thingmajig,1275.25,South
615,Gadget,2572.23,North
616,Gadget,3231.08,West
617,Widget,1079.29,South
618,Widget,1208.74,East
619,Thingmajig,3639.36,West
620,Widget,2379.77,South
621,Thingmajig,1247.71,South
622,Widget,4176.93,West
623,Widget,1555.51,West
624,Thingmajig,3421.8,South
625,Widget,1564.08,South
626,Doohickey,2308.91,South
627,Thingmajig,146.57,South
628,Widget,2568.26,West
629,Gadget,607.58,East
630,Widget,4794.25,East
631,Doohickey,405.2,North
632,Doohickey,546.36,East
633,Widget,1506.04,West
634,Doohickey,1149.34,South
635,Thingmajig,4178.11,South
636,Thingmajig,1631.54,North
637,Thingmajig,2214.75,East
638,Widget,1723.83,South
639,Thingmajig,3845.56,East
640,Doohickey,3923.78,West
641,Widget,3149.23,West
642,Gadget,4286.4,South
643,Thingmajig,3697.87,East
644,Doohickey,61.81,North
645,Doohickey,932.36,South
646,Widget,4445.9,South
647,Gadget,1894.61,South
648,Thingmajig,1979.92,East
649,Doohickey,3419.56,West
650,Gadget,3753.96,South
651,Widget,65.43,South
652,Gadget,4297.24,West
653,Thingmajig,578.71,West
654,Doohickey,4064.88,North
655,Doohickey,4805.2,East
656,Widget,2295.31,South
657,Widget,2582.85,West
658,Widget,3618.41,North
659,Widget,1465.93,North
660,Doohickey,4250.81,West
661,Gadget,1602.93,North
662,Gadget,2855.78,South
663,Doohickey,1800.49,East
664,Gadget,1269.01,East
665,Gadget,3901.39,East
666,Gadget,4950.78,East
667,Gadget,3135.53,East
668,Thingmajig,1826.34,South
669,Widget,2396.36,West
670,Widget,4023.73,North
671,Gadget,554.32,West
672,Thingmajig,282.3,West
673,Thingmajig,601.84,West
674,Gadget,4511.07,East
675,Gadget,443.17,North
676,Widget,4784.47,South
677,Thingmajig,698.91,West
678,Thingmajig,3533.16,East
679,Gadget,1407.22,East
680,Doohickey,1143.12,East
681,Gadget,2848.66,East
682,Widget,2160.32,West
683,Doohickey,1142.58,West
684,Thingmajig,2259.18,North
685,Gadget,4011.23,West
686,Thingmajig,3593.49,North
687,Doohickey,3022.27,East
688,Widget,553.61,North
689,Widget,1110.11,South
690,Doohickey,684.01,East
691,Gadget,1957.56,South
692,Doohickey,2807.49,East
693,Gadget,4244.94,South
694,Gadget,3320.1,South
695,Gadget,2901.02,North
696,Doohickey,1767.62,South
697,Widget,768.7,West
698,Doohickey,2825.69,West
699,Doohickey,4870.81,East
700,Thingmajig,3940.14,North
701,Thingmajig,1193.61,West
702,Gadget,3044.34,North
703,Widget,4515.87,West
704,Doohickey,2825.85,North
705,Doohickey,4704.55,South
706,Doohickey,3680.04,West
707,Doohickey,2134.74,South
708,Gadget,4787.95,North
709,Widget,1881.05,South
710,Doohickey,4346.43,West
711,Gadget,4117.87,South
712,Doohickey,4026.4,East
713,Thingmajig,3900.48,North
714,Widget,4635.02,South
715,Thingmajig,4984.93,North
716,Widget,2029.18,West
717,Widget,1235.73,North
718,Widget,1946.04,East
719,Doohickey,3715.76,North
720,Widget,850.42,South
721,Widget,1192.14,East
722,Widget,2022.47,North
723,Gadget,2050.54,East
724,Widget,844.94,East
725,Gadget,2285.3,South
726,Gadget,4907.91,South
727,Thingmajig,2865.06,North
728,Thingmajig,708.47,North
729,Thingmajig,2264.57,South
730,Gadget,1746.25,East
731,Gadget,2351.28,West
732,Gadget,982.05,West
733,Doohickey,1577.61,East
734,Widget,4167.44,North
735,Widget,1285.91,East
736,Gadget,563.78,South
737,Doohickey,1652.71,West
738,Thingmajig,3282.24,South
739,Gadget,4350.03,East
740,Thingmajig,3290.35,South
741,Thingmajig,972.55,South
742,Doohickey,1446.86,South
743,Widget,394.96,West
744,Thingmajig,1515.35,West
745,Gadget,1040.34,East
746,Doohickey,2183.94,South
747,Widget,1052.76,West
748,Gadget,3720.45,South
749,Widget,4074.07,West
750,Doohickey,2500.79,North
751,Thingmajig,522.23,South
752,Thingmajig,4661.41,East
753,Widget,540.4,North
754,Doohickey,4892.09,West
755,Thingmajig,4080.64,North
756,Widget,1627.59,East
757,Thingmajig,1397.69,South
758,Widget,1122.51,West
759,Doohickey,2490.47,North
760,Doohickey,3854.21,North
761,Widget,1355.71,West
762,Widget,4186.5,West
763,Widget,4213.84,North
764,Thingmajig,1485.28,North
765,Doohickey,1829.13,East
766,Gadget,1086.8,North
767,Gadget,4081.22,South
768,Widget,241.83,West
769,Gadget,2294.27,South
770,Gadget,4080.76,East
771,Widget,2305.28,West
772,Widget,2731.2,West
773,Gadget,1411.38,East
774,Widget,4348.88,South
775,Doohickey,4398.31,North
776,Doohickey,3990.89,South
777,Thingmajig,1190.64,South
778,Widget,3966.95,North
779,Doohickey,2892.01,North
780,Thingmajig,2665.83,East
781,Gadget,2036.41,East
782,Gadget,959.56,East
783,Widget,3153.14,South
784,Widget,3906.69,West
785,Doohickey,4072.01,North
786,Gadget,3611.46,South
787,Gadget,1878.94,East
788,Thingmajig,3983.11,West
789,Doohickey,3687.4,East
790,Gadget,3735.37,South
791,Doohickey,3932.11,East
792,Gadget,3550.53,West
793,Thingmajig,3483.55,West
794,Doohickey,4704.3,East
795,Doohickey,925.94,East
796,Widget,3836.36,South
797,Thingmajig,312.37,South
798,Doohickey,2332.08,West
799,Doohickey,814.47,East
800,Doohickey,4203.42,West
801,Thingmajig,3519.38,South
802,Thingmajig,4151.73,North
803,Thingmajig,1763.59,South
804,Doohickey,2089.23,South
805,Thingmajig,3814.77,West
806,Doohickey,1508.95,West
807,Widget,1210.64,North
808,Doohickey,2170.15,South
809,Gadget,3804.07,North
810,Thingmajig,1405.12,East
811,Widget,4818.81,East
812,Widget,4874.69,West
813,Widget,4801.91,South
814,Widget,1302.72,East
815,Gadget,2933.27,East
816,Thingmajig,4597.85,North
817,Widget,3287.72,East
818,Widget,3670.37,North
819,Thingmajig,710.65,South
820,Doohickey,1965.48,West
821,Gadget,2868.77,West
822,Widget,2942.5,South
823,Gadget,2566.65,North
824,Gadget,1771.68,North
825,Thingmajig,188.49,East
826,Gadget,116.55,East
827,Widget,2479.98,South
828,Doohickey,3887.3,East
829,Widget,3352.65,East
830,Doohickey,2781.77,West
831,Doohickey,3775.03,North
832,Gadget,4363.58,North
833,Widget,2500.12,South
834,Widget,4745.23,South
835,Thingmajig,353.64,South
836,Doohickey,165.42,South
837,Doohickey,529.66,West
838,Widget,3364.65,North
839,Gadget,4599.05,South
840,Gadget,790.42,North
841,Thingmajig,2881.12,West
842,Widget,3461.24,North
843,Gadget,1737.94,South
844,Doohickey,464.12,North
845,Gadget,2743.83,South
846,Thingmajig,1007.16,North
847,Gadget,4876.92,South
848,Doohickey,3151.0,South
849,Thingmajig,61.79,West
850,Widget,3917.34,East
851,Gadget,1831.42,North
852,Gadget,379.65,West
853,Widget,2501.33,East
854,Doohickey,3537.18,South
855,Gadget,3269.33,East
856,Thingmajig,3254.34,North
857,Gadget,753.45,North
858,Thingmajig,1885.18,West
859,Thingmajig,724.58,South
860,Doohickey,475.58,East
861,Doohickey,630.36,North
862,Doohickey,2019.47,West
863,Gadget,3713.62,West
864,Doohickey,506.31,East
865,Thingmajig,795.57,South
866,Doohickey,2530.98,North
867,Thingmajig,4710.53,South
868,Gadget,1673.78,West
869,Gadget,518.04,North
870,Thingmajig,171.53,West
871,Thingmajig,4584.21,West
872,Gadget,4240.16,West
873,Doohickey,4233.2,North
874,Doohickey,4207.49,North
875,Doohickey,4891.03,North
876,Widget,786.12,South
877,Gadget,4872.83,West
878,Doohickey,489.0,North
879,Doohickey,4238.22,South
880,Thingmajig,1286.36,North
881,Thingmajig,865.47,South
882,Thingmajig,3962.45,West
883,Gadget,4906.61,South
884,Doohickey,3769.92,South
885,Gadget,4611.69,North
886,Doohickey,611.46,South
887,Widget,827.0,East
888,Thingmajig,3184.3,West
889,Doohickey,1743.76,North
890,Gadget,4487.14,West
891,Thingmajig,239.56,East
892,Widget,900.38,West
893,Thingmajig,355.83,North
894,Doohickey,1851.03,East
895,Gadget,1207.42,South
896,Widget,4559.6,West
897,Widget,1007.94,West
898,Gadget,1560.7,East
899,Widget,4185.1,East
900,Widget,2369.63,East
901,Gadget,3574.19,West
902,Thingmajig,2540.79,South
903,Widget,4179.34,East
904,Gadget,501.94,West
905,Widget,283.44,East
906,Widget,2064.95,East
907,Gadget,4553.95,North
908,Thingmajig,2060.9,South
909,Doohickey,1406.16,East
910,Widget,3375.81,South
911,Gadget,2542.83,West
912,Gadget,3857.86,East
913,Thingmajig,3154.34,West
914,Widget,4935.29,North
915,Widget,2221.92,South
916,Gadget,1258.8,East
917,Doohickey,4388.66,South
918,Widget,1734.8,South
919,Widget,4953.16,South
920,Gadget,1946.07,North
921,Gadget,2634.38,South
922,Doohickey,3348.17,West
923,Gadget,4554.2,North
924,Widget,4990.18,South
925,Widget,1116.65,South
926,Thingmajig,4115.66,South
927,Widget,1494.5,East
928,Gadget,4795.04,West
929,Gadget,2410.86,North
930,Gadget,436.85,East
931,Doohickey,1810.03,East
932,Thingmajig,638.39,West
933,Widget,646.31,East
934,Thingmajig,1432.68,East
935,Doohickey,4690.48,South
936,Thingmajig,1165.83,South
937,Thingmajig,2271.95,East
938,Widget,153.75,South
939,Thingmajig,2852.28,North
940,Gadget,147.05,South
941,Gadget,4042.58,South
942,Gadget,84.34,North
943,Thingmajig,1621.79,South
944,Doohickey,4014.73,West
945,Gadget,1743.02,West
946,Gadget,4605.68,East
947,Widget,2197.39,East
948,Thingmajig,3919.91,North
949,Doohickey,1295.38,North
950,Widget,4632.55,South
951,Doohickey,960.01,West
952,Thingmajig,4901.32,North
953,Gadget,1117.87,South
954,Widget,2944.86,East
955,Thingmajig,2492.78,South
956,Thingmajig,1703.85,East
957,Widget,3850.19,East
958,Widget,1971.66,East
959,Widget,2996.9,North
960,Thingmajig,3594.77,West
961,Thingmajig,1021.06,North
962,Doohickey,1033.14,West
963,Doohickey,1034.82,South
964,Thingmajig,1935.83,South
965,Thingmajig,879.48,North
966,Gadget,4381.41,East
967,Gadget,3535.75,West
968,Doohickey,1872.54,North
969,Doohickey,2307.61,West
970,Widget,3768.66,North
971,Doohickey,1369.21,South
972,Thingmajig,1186.83,East
973,Widget,3851.89,North
974,Widget,4691.7,West
975,Gadget,641.74,South
976,Thingmajig,3616.53,East
